1757,2621,4868,7320,10667,13637,13689,15182,18050
3651,5029,5569,6632,8947,9210,10834,13053,15408
5347,5860,8688,8878,10756,9378,11433,11466,11539
5646,6109,6444,7660,10167,9547,13439,13773,14357
6955,8712,7174,8526,10482,13026,14940,14146,17751
8513,10355,9673,10823,12457,15569,18861,17216,17885
10664,13789,12531,14451,16293,19489,19211,18346,21717
13720,15525,13441,15538,18237,19299,23104,20976,24528
16016,18538,15443,17755,20254,20326,22819,24457,28313
16594,20219,16470,19511,20884,22292,25340,28250,28396
18721,22463,18718,20153,21101,23146,24481,25656,28314
21766,23660,20833,21225,21989,23185,23873,27152,30505
24747,25658,24208,24477,23897,25570,23933,26671,30552
27507,29229,25555,27203,27216,29199,26335,28418,32398
31160,31519,28181,27606,27461,29261,29526,30376,33509
33446,31546,31092,28922,29570,30565,32835,34143,34988
36601,35111,32472,31728,30510,33594,35027,37251,38183
38928,39031,34540,34661,30661,31231,31328,32186,34138
39203,41800,35089,34818,32698,31372,32798,35530,35685
42515,43508,36881,35193,34309,35193,32912,34942,38815
45137,46085,37047,38979,37322,35239,33223,34070,38025
47440,47042,40331,42201,40039,35688,33587,36070,37235
48689,48464,42231,43654,43456,38492,36655,39175,38973
